Stkcd,Accper,Typrep,B001000000,B001100000,B001101000,B001200000,B001201000,B001207000,B001209000,B001210000,B001211000,B001212000,A002000000,A001000000,Indnme,Nindnme
300375,2018-3-31,A,30505312.83,303082749.5,303082749.5,274069739.5,229571406.1,2982059.19,11244175.3,29371122.47,-860138.85,1761115.25,283011584.7,1903347559.0,工业,石油、化学、塑胶、塑料
603025,2018-3-31,A,113437139.8,296101128.2,296101128.2,205236839.6,146413318.5,4218810.73,11509163.24,43748419.57,-741328.4,88455.96,205640709.4,2227142348.0,工业,信息技术业
2009,2018-3-31,A,83879452.98,782762730.8,782762730.8,710149914.6,593649955.7,6797361.97,14883613.86,68481732.06,21576672.63,4760578.38,3059814604.0,5351331429.0,工业,普通机械制造业
603393,2018-3-31,A,86202706.13,329315225.9,329315225.9,251299910.3,241349349.6,2167463.92,3921771.44,9442008.46,-5389621.81,-191061.24,299348040.7,2316372816.0,工业,煤气生产和供应业
300731,2018-3-31,A,15775248.23,63494770.99,63494770.99,50149459.43,36634870.56,382957.64,3833257.35,9434804.25,53456.78,-189887.15,54626755.61,556285036.6,工业,石油、化学、塑胶、塑料
300368,2018-3-31,A,-8467975.14,162104498.1,162104498.1,174008913.2,105149653.5,1654292.31,20905535.75,40636518.82,2524130.5,3138782.31,880094928.1,1967611490.0,工业,专用设备制造业
600422,2018-3-31,A,101139464.8,1642369522.0,1642369522.0,1564210652.0,837727990.6,17056901.15,603176097.1,92320564.15,10235477.54,3693621.7,2875752298.0,6735140346.0,工业,医药制造业
300014,2018-3-31,A,76448316.87,684106994.5,684106994.5,647517739.3,481217789.8,2174508.84,43757505.32,81753288.04,23389313.77,15225333.57,4992054358.0,8317664210.0,工业,电器机械及器材制造业
600722,2018-3-31,A,5367612.12,190298618.0,190298618.0,185655236.1,180535676.2,1746136.07,1425177.45,3815341.56,-1902388.9,35293.74,113380995.5,1161209483.0,工业,化学原料及化学制品制造业
2350,2018-3-31,A,11050338.23,369782096.5,369782096.5,365424426.6,275407017.6,1969570.05,39083180.16,54148375.94,1283097.72,-6466814.88,1468801446.0,2819122327.0,工业,电器机械及器材制造业
603977,2018-3-31,A,12934278.35,118676043.3,118676043.3,115756974.9,74325568.74,641100.66,9363001.54,27821506.47,1970016.05,1635781.43,397981327.6,1397171169.0,工业,化学原料及化学制品制造业
300343,2018-3-31,A,51722987.53,585413955.7,585413955.7,534610770.1,478261056.9,4042643.19,27622257.36,24593123.1,3896812.92,-3805123.37,1452549251.0,5921596954.0,公用事业,计算机应用服务业
600664,2018-3-31,A,208535352.5,2857831647.0,2857831647.0,2658917387.0,2039127987.0,39863004.68,167827574.4,422166532.8,-7001748.7,-3065963.0,6083672246.0,13726313842.0,工业,医药制造业
2767,2018-3-31,A,7806064.19,64561958.91,64561958.91,60852151.35,42517145.7,297681.96,8666932.98,11429015.12,-2559070.43,500446.02,102020002.8,804044866.9,工业,仪器仪表及文化、办公用机械制造业
809,2018-3-31,A,39417252.2,5821228.2,5821228.2,-30191288.3,8181008.61,491716.87,1520.0,5595384.94,18923061.84,-63383980.56,2787773480.0,5922625416.0,公用事业,公共设施服务业
2349,2018-3-31,A,72895291.83,326250102.8,326250102.8,254357860.1,158641289.0,5665457.01,47953569.26,35191757.88,2695662.24,4210124.64,640094983.8,3368286543.0,工业,医药制造业
2117,2018-3-31,A,70983504.29,407093294.9,407093294.9,339037590.3,248077331.0,5155805.55,36701917.54,46221412.5,-318988.05,3200111.67,474587572.1,2052869642.0,工业,印刷业
505,2018-3-31,A,50143684.81,1866527191.0,1866527191.0,1841620803.0,1729424214.0,6306256.24,47255530.9,47691112.12,11042135.57,-98446.31,3139841563.0,5768367292.0,工业,食品加工业
200505,2018-3-31,A,50143684.81,1866527191.0,1866527191.0,1841620803.0,1729424214.0,6306256.24,47255530.9,47691112.12,11042135.57,-98446.31,3139841563.0,5768367292.0,工业,食品加工业
300322,2018-3-31,A,19532790.41,361328056.6,361328056.6,344809229.6,282451218.4,2188374.8,8559652.17,50669698.94,8206496.53,-7266211.21,1152393308.0,1876540681.0,工业,信息技术业
2286,2018-3-31,A,16741929.09,386847215.2,386847215.2,378094256.1,332699082.5,3758810.87,23622742.21,11791222.41,5956093.94,266304.22,754068705.4,2290364925.0,工业,食品加工业
603929,2018-3-31,A,47771753.62,616879005.7,616879005.7,571084173.0,565122595.3,1369612.02,871450.44,21955392.17,-2747285.92,-15487591.01,717665559.2,1755894383.0,房地产,土木工程建筑业
2278,2018-3-31,A,-3075767.41,93932019.35,93932019.35,100703824.0,61567014.23,613662.9,11963047.88,26091456.39,5347360.05,-4878717.46,385487931.5,1516488579.0,工业,专用设备制造业
971,2018-3-31,A,22322520.21,223481094.5,223481094.5,201375599.8,167332569.8,466782.17,4311420.11,31706551.95,-2210132.85,-231591.34,267566019.2,3970159626.0,公用事业,计算机应用服务业
2521,2018-3-31,A,30132479.17,869128285.3,869128285.3,843593777.9,758626166.0,5075058.59,20434194.28,53411130.89,-692110.46,6739338.62,894678650.9,4333613217.0,工业,造纸及纸制品业
601678,2018-3-31,A,355825820.9,1786507728.0,1786507728.0,1441491893.0,1260204467.0,19022586.21,78565375.1,64061337.3,17706506.75,1931619.85,4783332855.0,10574090736.0,工业,化学原料及化学制品制造业
300036,2018-3-31,A,13841696.26,236208635.1,236208635.1,226330753.2,111677197.5,942133.63,24155303.39,84979255.04,1184954.01,3391909.61,693481124.0,2519803747.0,公用事业,计算机应用服务业
300401,2018-3-31,A,142580229.2,235500525.6,235500525.6,94567440.71,74082926.44,1634323.98,2267469.9,11737308.71,3459573.06,1385838.62,145665535.2,1548681383.0,工业,食品制造业
603156,2018-3-31,A,1239578574.0,2852286596.0,2852286596.0,1755358265.0,1458613012.0,35071544.3,247071673.0,19395707.92,-6941317.54,2147645.46,1979998838.0,13527564195.0,工业,饮料制造业
2240,2018-3-31,A,1039954.2,473458292.1,473458292.1,484447043.0,449365262.1,6180920.59,14110329.17,24093434.5,6685747.89,-15988651.25,800329915.9,2929336630.0,工业,木材加工及竹、藤、棕、草制品业
300631,2018-3-31,A,5050931.33,46015898.53,46015898.53,42378935.79,26119436.11,589391.51,5703918.65,11074331.39,80412.31,-1188554.18,194867788.7,783574129.4,工业,专用设备制造业
2294,2018-3-31,A,492338407.9,1126387674.0,1126387674.0,657179414.1,211253554.0,21653012.0,290384031.9,133215113.6,675142.65,-1440.0,602252147.7,7169006178.0,工业,医药制造业
300487,2018-3-31,A,23526590.04,132138788.2,132138788.2,109730757.3,80959646.23,1210392.52,2884463.33,15194894.06,6185305.11,3296056.01,273177492.0,1113302576.0,工业,化学原料及化学制品制造业
300379,2018-3-31,A,6112351.11,60348536.04,60348536.04,58591674.62,6987905.6,329998.06,15754514.27,34598920.77,-1719298.45,2639634.37,92971438.38,1543707976.0,公用事业,计算机应用服务业
2267,2018-3-31,A,375150299.9,2896836572.0,2896836572.0,2520261820.0,2436860820.0,14765943.21,3805513.75,24234967.11,36015915.15,4578660.54,5810197107.0,11912398807.0,工业,煤气生产和供应业
300691,2018-3-31,A,8745949.85,198913219.7,198913219.7,190664554.6,154316763.0,569132.48,2000934.78,35885351.97,2125068.09,-4232695.74,324827575.5,1196530183.0,工业,信息技术业
2825,2018-3-31,A,6048073.93,173769199.8,173769199.8,168832460.2,142128801.8,311584.47,4198359.21,15488774.73,6780335.18,-75395.13,183707790.1,758105223.2,工业,石油、化学、塑胶、塑料
300529,2018-3-31,A,107245208.5,206554436.2,206554436.2,110989247.3,31699858.85,4337101.99,47145732.78,28230714.77,-1292655.21,868494.16,318245211.6,1802421368.0,工业,专用设备制造业
546,2018-3-31,A,25646572.66,1328454027.0,1328454027.0,1341648963.0,1241990499.0,9290554.13,17799853.65,45669933.75,34064562.03,-7166439.91,4021656213.0,7916889020.0,公用事业,其他社会服务业
68,2018-3-31,A,-16047620.93,38662918.57,38662918.57,53259473.41,27037292.36,1671794.46,1957298.35,15484963.65,7089431.2,18693.39,1551447205.0,2628211943.0,公用事业,专业、科研服务业
300503,2018-3-31,A,15493507.63,97721181.17,97721181.17,83533240.91,53130763.68,1000970.05,9742470.92,19507996.1,-18222.76,169262.92,393942168.8,1193361010.0,工业,普通机械制造业
600710,2018-3-31,A,280353934.0,17328781034.0,17328781034.0,17174685081.0,16449666372.0,10379980.72,268493049.0,250517404.2,193610281.3,2017994.24,36362854137.0,43600073430.0,商业,批发和零售贸易
600510,2018-3-31,A,60286514.18,1186916872.0,1186916872.0,1129265416.0,992363204.3,15932721.63,20946857.61,56836503.29,47567340.8,-4381211.4,14228190153.0,22491149801.0,房地产,房地产业
600535,2018-3-31,A,455990490.6,3952350207.0,3952350207.0,3515008428.0,2595492594.0,36754193.6,509546728.9,248562013.9,106821908.2,17830989.04,13327057603.0,22767454163.0,工业,医药制造业
830,2018-3-31,A,1063061817.0,4893291571.0,4893291571.0,3831553029.0,3406248175.0,36879071.76,132442480.8,107815773.6,147074827.2,1092701.36,17387442299.0,28700009791.0,工业,化学原料及化学制品制造业
300492,2018-3-31,A,2350471.86,33141210.79,33141210.79,30790962.8,23521754.36,232333.77,1351410.12,5240490.14,158804.28,286170.13,58610998.7,374778868.7,公用事业,专业、科研服务业
2417,2018-3-31,A,-13572856.91,8265749.93,8265749.93,13783900.5,553781.95,41929.32,1916475.66,11969356.93,-395788.29,-301855.07,57818241.14,393382477.2,公用事业,计算机应用服务业
300190,2018-3-31,A,54184908.99,332896150.7,332896150.7,287323520.7,212868307.1,4163626.85,15487535.56,46519297.2,9962309.17,-1677555.26,2291326071.0,6079932758.0,公用事业,其他社会服务业
2465,2018-3-31,A,24674601.62,762493576.4,762493576.4,772556301.7,493918654.0,3818445.31,49737594.94,223606766.6,3582091.98,-2107251.1,2996155018.0,11585849121.0,工业,信息技术业
603021,2018-3-31,A,773053.21,194027942.1,194027942.1,195892563.9,155239720.4,3105949.61,10809855.34,18552154.01,11630493.15,-3445608.67,1564695482.0,2946720216.0,工业,非金属矿物制品业
2168,2018-3-31,A,191578736.0,604057765.9,604057765.9,560087209.0,140015275.1,1413171.24,384949960.6,34213569.72,309960.76,-814728.45,1886572282.0,3454996885.0,公用事业,计算机应用服务业
430,2018-3-31,A,-16897281.21,56564818.73,56564818.73,74368509.48,51792111.12,1607436.44,2492497.91,17274425.77,881741.44,320296.8,779269804.3,2326731084.0,公用事业,公共设施服务业
300258,2018-3-31,A,78293309.05,323250701.5,323250701.5,246933851.9,193091202.0,4292803.46,11729315.67,24899127.53,12809280.01,112123.25,713923381.1,2447637022.0,工业,交通运输设备制造业
603089,2018-3-31,A,2407140.42,200156861.9,200156861.9,198728433.9,160935247.2,1366349.05,6554640.81,19889693.43,7782451.21,2200052.16,290018567.7,1002827288.0,工业,交通运输设备制造业
300508,2018-3-31,A,8052791.26,51316744.4,51316744.4,47262910.06,20231535.27,530802.45,5277096.22,21010377.35,96645.51,116453.26,34978083.32,554019262.4,公用事业,计算机应用服务业
300273,2018-3-31,A,74280546.7,243090036.7,243090036.7,186123891.0,93597633.47,1141488.64,34162671.65,31164155.58,13801159.97,12256781.64,2952448511.0,5557525433.0,工业,专用设备制造业
300484,2018-3-31,A,5245984.38,55237865.64,55237865.64,52964959.71,33203514.94,540114.73,7127975.77,13002802.13,352773.31,-1262221.17,396180480.7,1106483186.0,工业,电器机械及器材制造业
300125,2018-3-31,A,9685619.31,38154891.09,38154891.09,34037223.33,29034074.63,356432.61,484932.5,6008659.21,5351709.07,-7198584.69,564478203.6,1370123392.0,公用事业,专业、科研服务业
603979,2018-3-31,A,94223150.13,634407236.1,634407236.1,540511739.6,450471059.2,2412711.18,1977022.91,73580181.65,9268789.39,2801975.19,1800353889.0,5704495144.0,工业,采掘服务业
656,2018-3-31,A,266662146.6,5321734163.0,5321734163.0,5064700360.0,4237891820.0,173734840.7,282267714.2,163905487.8,201643011.3,5257485.45,140348000000.0,162788000000.0,房地产,房地产业
300738,2018-3-31,A,11260277.19,90770431.33,90770431.33,79945616.75,68203538.11,11125.02,3040149.76,8901663.64,-137511.41,-73348.37,102337808.5,623945343.7,公用事业,计算机应用服务业
2572,2018-3-31,A,124047337.0,1243035988.0,1243035988.0,1126464376.0,811121335.2,12040959.77,138631033.1,160704493.4,4068067.58,-101512.83,1763141240.0,6757095559.0,工业,家具制造业
300080,2018-3-31,A,49686448.48,817111202.7,817111202.7,771223959.5,662143227.1,3536611.77,5557697.82,48354260.57,51637707.22,-5545.0,4233164984.0,6836170473.0,工业,非金属矿物制品业
603707,2018-3-31,A,140643032.7,435640558.7,435640558.7,302574732.3,238081091.6,988595.68,30202121.91,35453957.88,-1287090.54,-863944.19,811563208.0,2921178569.0,工业,医药制造业
300037,2018-3-31,A,60617270.74,450058118.9,450058118.9,409720409.7,304557887.7,3847185.3,20203887.34,64210825.25,12934749.25,3965874.85,1384897151.0,3966791310.0,工业,化学原料及化学制品制造业
404,2018-3-31,A,39367630.22,2355598023.0,2355598023.0,2332605807.0,2087572741.0,8666438.56,43982396.81,136465298.4,25196499.02,30722432.99,6096256382.0,10286674755.0,工业,普通机械制造业
300328,2018-3-31,A,1090882.67,165628265.4,165628265.4,165709436.8,122497584.3,1333737.45,7417723.65,26127117.54,8395032.56,-61758.67,572921904.0,1839252241.0,工业,金属制品业
300690,2018-3-31,A,19836987.59,90631143.08,90631143.08,74695847.67,55190277.18,1632393.5,6267650.4,8732165.64,3088637.99,-215277.04,97092474.23,1046154821.0,工业,非金属矿物制品业
521,2018-3-31,A,67809966.61,4245506566.0,4245506566.0,4213805315.0,3395348853.0,25629526.25,659262709.7,117724986.3,-1695567.0,17534805.86,11428793609.0,16634614645.0,工业,电器机械及器材制造业
200521,2018-3-31,A,67809966.61,4245506566.0,4245506566.0,4213805315.0,3395348853.0,25629526.25,659262709.7,117724986.3,-1695567.0,17534805.86,11428793609.0,16634614645.0,工业,电器机械及器材制造业
2661,2018-3-31,A,87284109.47,668391869.7,668391869.7,603329578.8,498732473.7,4024999.03,65596383.87,27227422.39,4559774.24,3188525.6,709655641.1,2874276259.0,工业,食品制造业
300223,2018-3-31,A,3371953.97,39190612.47,39190612.47,44206663.08,23874525.07,639861.99,2035269.32,17760586.81,48342.16,-151922.27,37891940.47,1166181417.0,工业,信息技术业
300304,2018-3-31,A,28507282.98,155653577.1,155653577.1,136521862.7,101296214.0,1801491.12,3362685.17,26759369.82,2194470.97,1107631.67,248367452.9,2090360286.0,工业,交通运输设备制造业
603605,2018-3-31,A,84867506.74,503122369.4,503122369.4,421400662.1,185641478.2,5337987.13,181745176.0,43471326.83,1053632.64,4151061.26,881507676.5,2410315184.0,工业,化学原料及化学制品制造业
2846,2018-3-31,A,9429336.03,158516049.3,158516049.3,152970057.7,132534625.4,875064.0,4660478.11,12656180.03,1186617.49,1057092.73,204559076.1,753280028.4,工业,金属制品业
2571,2018-3-31,A,-15026922.52,168352639.0,168352639.0,182628117.9,139221092.4,3126155.54,7960228.82,19305657.41,-188084.32,13203068.08,305586811.4,1821015507.0,工业,非金属矿物制品业
2383,2018-3-31,A,56189311.22,879388022.1,879388022.1,845191847.5,654439396.4,2841463.49,34353590.1,116260115.0,36970400.57,326881.93,4874024769.0,8702362137.0,工业,信息技术业
2391,2018-3-31,A,77072031.05,647354096.3,647354096.3,566763785.3,465455858.1,3363926.36,21484229.94,55385926.13,10707601.75,10366243.01,951312044.0,4078168914.0,工业,化学原料及化学制品制造业
2741,2018-3-31,A,31171136.19,357239417.6,357239417.6,327138230.7,273775023.4,1709767.79,23690682.73,25876611.64,2115763.21,-29618.04,575613732.1,1718870018.0,工业,化学原料及化学制品制造业
2549,2018-3-31,A,24527980.57,114942322.5,114942322.5,94569517.3,66847694.35,1121518.18,12261412.04,13510512.73,837645.09,-9265.09,297635489.1,1216018640.0,公用事业,其他社会服务业
600282,2018-3-31,A,1430816522.0,10368911313.0,10368911313.0,8971509629.0,8312575114.0,83342040.6,133793513.2,277260869.4,121238330.0,43299761.76,23907952838.0,40519801119.0,工业,黑色金属冶炼及压延加工业
600438,2018-3-31,A,387023277.3,5221288332.0,5221288332.0,4864226639.0,4264015190.0,24232805.33,161474466.1,335300063.5,65553380.17,13650734.22,13290756698.0,27379558789.0,工业,食品加工业
300632,2018-3-31,A,13504424.62,115974387.6,115974387.6,107438505.6,83454234.62,967104.06,3993653.28,10172992.73,9333773.59,-483252.68,173889426.0,700026099.3,工业,信息技术业
603499,2018-3-31,A,13275896.52,82770963.8,82770963.8,77899127.84,63266865.34,227911.33,4535178.51,9657745.21,272991.05,-61563.6,153866091.7,690126282.1,工业,印刷业
603578,2018-3-31,A,19370303.3,85804297.94,85804297.94,71748231.4,61817431.12,572802.77,3666511.06,5155003.86,101767.49,434715.1,80767756.63,594286344.5,工业,非金属矿物制品业
300264,2018-3-31,A,7058712.45,87687565.06,87687565.06,87104747.43,59237823.68,290077.18,6311804.65,16655336.08,1017511.99,3592193.85,363969653.9,915576026.0,公用事业,计算机应用服务业
600824,2018-3-31,A,66670988.92,422232184.9,417398910.6,356908701.5,237617318.6,8246309.0,63594099.06,41769045.93,5420404.03,261524.81,711302232.1,2950271280.0,商业,零售业
300193,2018-3-31,A,28270455.97,175547038.0,175547038.0,167310165.9,115423396.9,3002037.75,12128739.36,19237456.17,17212219.39,306316.37,341070693.7,2650831883.0,工业,普通机械制造业
603518,2018-3-31,A,104538560.1,754013966.7,754013966.7,650560555.6,234125230.4,2884029.05,283496026.7,70323916.63,60078788.46,-347435.7,4126530236.0,6564759930.0,工业,服装及其他纤维制品制造业
601636,2018-3-31,A,375297017.4,1658429737.0,1658429737.0,1346985402.0,1096889382.0,27143280.42,21503830.82,197927256.4,3424151.55,97500.53,5754974765.0,13215780816.0,工业,非金属矿物制品业
600420,2018-3-31,A,312880410.4,3109236552.0,3109236552.0,2812224615.0,1610894889.0,43842797.72,834618046.2,231273297.3,71205846.2,20389738.16,8068881035.0,15975286051.0,工业,医药制造业
603515,2018-3-31,A,88349092.42,1482757715.0,1482757715.0,1434596073.0,922590584.4,6976589.09,378700672.1,99180337.84,17880486.4,9267403.06,2425921122.0,6131335924.0,工业,电器机械及器材制造业
300285,2018-3-31,A,90860350.03,323187251.1,323187251.1,242482102.0,189424264.6,3141601.46,8507560.0,32185452.71,11591663.96,-2368440.72,1019128589.0,3294787552.0,工业,化学原料及化学制品制造业
2667,2018-3-31,A,11810145.98,46613450.27,46613450.27,39234888.78,30044836.96,1218218.84,5519635.51,7076958.75,15528.07,-4640289.35,115625443.6,885621933.4,工业,专用设备制造业
2225,2018-3-31,A,68168131.59,890354032.5,890354032.5,826810080.4,639575695.9,6814975.48,74670493.45,75967172.2,36710405.93,-6928662.52,2506009140.0,5039576644.0,工业,非金属矿物制品业
2469,2018-3-31,A,13645664.3,113415866.0,113415866.0,102910235.4,77280266.15,1413407.29,9344047.65,16999696.26,-632405.47,-1494776.52,297015550.2,1597453669.0,房地产,土木工程建筑业
2116,2018-3-31,A,50731544.3,957042541.1,957042541.1,913497909.0,851835762.0,4152300.13,2929450.45,44956101.63,7811074.92,1813219.93,2522295642.0,3887330061.0,房地产,土木工程建筑业
300041,2018-3-31,A,73050503.52,501339626.2,501339626.2,437259579.4,370154132.4,2961492.11,23624449.94,30856716.55,2690138.02,6972650.4,663291500.2,2605533701.0,工业,化学原料及化学制品制造业
2129,2018-3-31,A,183875981.4,2801768460.0,2801768460.0,2632853825.0,2234471722.0,13657919.44,25880167.83,224401830.8,136535321.8,-2093136.29,19634953939.0,33277550010.0,工业,电器机械及器材制造业
810,2018-3-31,A,72666370.74,1834863804.0,1834863804.0,1785286496.0,1538731372.0,6349978.05,99573876.13,108143350.8,18139862.16,14348056.26,4942648094.0,7804767904.0,工业,信息技术业
603528,2018-3-31,A,44814144.9,138589168.1,138589168.1,102566817.8,49461888.34,2016699.2,15524963.21,26785080.23,-3035197.45,11813384.31,606768783.9,2015490429.0,工业,信息技术业
600337,2018-3-31,A,77764558.27,1014272722.0,1014272722.0,936766982.4,454281848.1,10501761.79,353481597.3,101398828.9,16743321.99,359624.33,2269391119.0,7287797512.0,商业,零售业
300596,2018-3-31,A,43097743.8,323360252.0,323360252.0,281859061.5,226998896.9,1195577.15,22109849.15,25309793.48,4944317.48,1300627.34,614411140.6,1571572859.0,工业,化学原料及化学制品制造业
300059,2018-3-31,A,367494200.6,822919465.4,367212861.1,535562581.4,99034364.07,7628407.29,54202200.94,318796519.4,45774477.83,10126611.94,30153408093.0,45139218063.0,金融,证券、期货业
603103,2018-3-31,A,245236221.5,931016740.4,931016740.4,698540576.3,623644740.8,43609036.0,15316025.67,14815745.01,1049964.12,105064.65,999851145.9,3162128889.0,公用事业,广播电影电视业
603278,2018-3-31,A,45067391.41,515649107.6,515649107.6,473322423.8,435967954.8,2341361.34,14796000.72,14867470.24,6333851.71,-984214.98,1416900688.0,2818153689.0,工业,金属制品业
603933,2018-3-31,A,46826308.02,456190231.0,456190231.0,414974293.0,363654341.5,1877488.55,24502480.4,22667851.92,-4134359.85,6406490.5,418707133.0,1421177347.0,工业,信息技术业
300087,2018-3-31,A,8094677.8,126497758.0,126497758.0,119950999.0,77371076.79,1025940.35,17040219.51,25064677.24,-207113.31,-343801.6,427534275.6,1407191151.0,综合,农业
603577,2018-3-31,A,10393586.58,194917580.2,194917580.2,193992666.4,155939889.9,1474469.72,11880999.73,7216299.23,17271762.71,209245.08,826455736.9,1724497244.0,工业,金属制品业
600148,2018-3-31,A,24083376.95,244886645.1,244886645.1,220875787.0,175870298.9,1751640.21,21077925.01,22172563.47,32958.72,-29599.31,585679388.4,1087425208.0,工业,交通运输设备制造业
300164,2018-3-31,A,17881152.39,305646642.2,305646642.2,287860395.7,184357849.6,23649.69,65110704.06,33735086.7,6661538.9,-2028433.23,663011775.2,2648603371.0,工业,采掘服务业
300647,2018-3-31,A,9674539.52,118516696.4,118516696.4,109990569.2,80519362.76,436435.21,5338748.62,19331419.63,3594969.3,769633.67,487552246.8,1051263191.0,工业,信息技术业
2857,2018-3-31,A,-1804067.17,15599544.43,15599544.43,18515734.55,9877200.69,153640.38,4296547.03,5019235.98,-350978.65,-479910.88,117896367.7,541558534.3,工业,仪器仪表及文化、办公用机械制造业
2789,2018-3-31,A,34534151.89,619289784.0,619289784.0,584425301.8,541180970.1,5404721.3,4635699.76,9875180.91,23006197.0,322532.73,2690133948.0,3882480735.0,综合,装修装饰业
2449,2018-3-31,A,92430974.99,821242642.6,821242642.6,747317255.7,636007914.6,3736914.69,20175909.09,68375965.58,17139952.86,1880598.88,2805948974.0,6057885784.0,工业,信息技术业
